Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
04.11.2023 17:50;8.0;728.3;744.7;82;Ветер, дующий с юго-юго-востока;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 17:20;9.0;728.4;744.7;76;Ветер, дующий с юго-юго-востока;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 16:50;9.0;728.4;744.7;76;Ветер, дующий с юго-юго-востока;7;;;;Незначительная (10-30%) 1200 м;10.0 и более;5.0;;;
04.11.2023 16:20;10.0;729.2;745.5;67;Ветер, дующий с юго-юго-востока;8;;;;Незначительная (10-30%) 1200 м;10.0 и более;4.0;;;
04.11.2023 15:50;11.0;729.3;745.5;62;Ветер, дующий с юго-юго-востока;9;;;;Незначительная (10-30%) 1200 м;10.0 и более;4.0;;;
04.11.2023 15:20;11.0;730.1;746.3;62;Ветер, дующий с юго-юго-востока;9;;;;Незначительная (10-30%) 1200 м;10.0 и более;4.0;;;
04.11.2023 14:50;12.0;730.1;746.3;58;Ветер, дующий с юга;8;;;;Незначительная (10-30%) 900 м;10.0 и более;4.0;;;
04.11.2023 14:20;12.0;730.1;746.3;58;Ветер, дующий с юга;9;;;;Незначительная (10-30%) 900 м;10.0 и более;4.0;;;
04.11.2023 13:50;12.0;730.1;746.3;58;Ветер, дующий с юга;9;;;;Незначительная (10-30%) 900 м;10.0 и более;4.0;;;
04.11.2023 13:20;12.0;730.8;747.0;63;Ветер, дующий с юго-юго-востока;7;;;;Незначительная (10-30%) 900 м;10.0 и более;5.0;;;
04.11.2023 12:50;12.0;730.8;747.0;67;Ветер, дующий с юго-юго-востока;6;;;;Незначительная (10-30%) 900 м;10.0 и более;6.0;;;
04.11.2023 12:20;11.0;731.5;747.8;72;Ветер, дующий с юго-юго-востока;6;;;;Незначительная (10-30%) 900 м;10.0 и более;6.0;;;
04.11.2023 11:50;12.0;731.6;747.8;63;Ветер, дующий с юга;5;;;;Незначительная (10-30%) 900 м;10.0 и более;5.0;;;
04.11.2023 11:20;11.0;732.2;748.5;67;Ветер, дующий с юга;5;;;;Незначительная (10-30%) 1200 м;10.0 и более;5.0;;;
04.11.2023 10:50;10.0;732.2;748.5;71;Ветер, дующий с юго-юго-востока;4;;;;Незначительная (10-30%) 1200 м;10.0 и более;5.0;;;
04.11.2023 10:20;10.0;732.9;749.3;71;Ветер, дующий с юго-юго-востока;3;;;;Незначительная (10-30%) 1200 м;10.0 и более;5.0;;;
04.11.2023 09:50;8.0;732.8;749.3;76;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;4.0;;;
04.11.2023 09:20;7.0;732.8;749.3;87;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 08:50;7.0;732.8;749.3;81;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;4.0;;;
04.11.2023 08:20;6.0;732.7;749.3;87;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;4.0;;;
04.11.2023 07:50;5.0;732.6;749.3;87;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;3.0;;;
04.11.2023 07:20;2.0;732.5;749.3;100;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;2.0;;;
04.11.2023 06:50;2.0;732.5;749.3;100;Ветер, дующий с юга;3;;Поземный туман;;Нет существенной облачности;10.0 и более;2.0;;;
04.11.2023 06:20;2.0;732.5;749.3;100;Ветер, дующий с юга;3;;Поземный туман;;Нет существенной облачности;10.0 и более;2.0;;;
04.11.2023 05:50;2.0;732.5;749.3;100;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;2.0;;;
04.11.2023 05:20;3.0;731.7;748.5;93;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;2.0;;;
04.11.2023 04:50;6.0;731.9;748.5;81;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;3.0;;;
04.11.2023 04:20;4.0;731.8;748.5;81;Ветер, дующий с юго-запада;2;;;;Нет существенной облачности;10.0 и более;1.0;;;
04.11.2023 03:50;7.0;732.0;748.5;76;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;3.0;;;
04.11.2023 03:20;6.0;731.9;748.5;81;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;3.0;;;
04.11.2023 02:50;6.0;731.9;748.5;81;Ветер, дующий с запада;2;;;;Рассеянная (40-50%) 1500 м;10.0 и более;3.0;;;
04.11.2023 02:20;7.0;732.0;748.5;76;Ветер, дующий с западо-северо-запада;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;3.0;;;
04.11.2023 01:50;7.0;732.0;748.5;76;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;3.0;;;
04.11.2023 01:20;7.0;731.3;747.8;76;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1440 м;10.0 и более;3.0;;;
04.11.2023 00:50;6.0;731.2;747.8;81;Переменное направление;1;;;;Незначительная (10-30%) 1440 м, рассеянная (40-50%) 1500 м;10.0 и более;3.0;;;
04.11.2023 00:20;7.0;731.3;747.8;81;Ветер, дующий с запада;2;;;;Незначительная (10-30%) 1440 м;10.0 и более;4.0;;;
03.11.2023 23:50;8.0;731.4;747.8;76;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1380 м;10.0 и более;4.0;;;
03.11.2023 23:20;7.0;730.5;747.0;81;Ветер, дующий с западо-юго-запада;3;;;;Незначительная (10-30%) 1320 м;10.0 и более;4.0;;;
03.11.2023 22:50;8.0;730.6;747.0;76;Ветер, дующий с западо-юго-запада;4;;;;Незначительная (10-30%) 1440 м;10.0 и более;4.0;;;
03.11.2023 22:20;8.0;730.6;747.0;76;Ветер, дующий с юго-юго-запада;3;;;;Незначительная (10-30%) 1440 м;10.0 и более;4.0;;;
03.11.2023 21:50;7.0;730.5;747.0;81;Ветер, дующий с юго-юго-запада;3;;;;Незначительная (10-30%) 1440 м;10.0 и более;4.0;;;
03.11.2023 21:20;7.0;729.8;746.3;81;Ветер, дующий с юга;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
03.11.2023 20:50;7.0;729.8;746.3;81;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;4.0;;;
03.11.2023 20:20;7.0;729.0;745.5;81;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;4.0;;;
03.11.2023 19:50;7.0;729.0;745.5;81;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;4.0;;;
03.11.2023 19:20;7.0;728.3;744.7;81;Переменное направление;1;;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
03.11.2023 18:50;7.0;728.3;744.7;81;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
03.11.2023 18:20;7.0;727.6;744.0;81;Ветер, дующий с запада;5;;;;Незначительная (10-30%) 600 м;10.0 и более;4.0;;;
03.11.2023 17:50;7.0;727.6;744.0;81;Ветер, дующий с западо-северо-запада;3;;;;Нет существенной облачности;10.0 и более;4.0;;;
03.11.2023 17:20;7.0;726.8;743.2;81;Ветер, дующий с запада;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
03.11.2023 16:50;7.0;726.0;742.4;81;Ветер, дующий с запада;6;;Слабый(ая)(ые) дождь;Ливень (ливни), дождь;Незначительная (10-30%) 1140 м, разорванная (60-90%) 1500 м;10.0 и более;4.0;;;
03.11.2023 16:20;7.0;726.0;742.4;81;Ветер, дующий с запада;8;;Ливень (ливни), дождь;;Незначительная (10-30%) 510 м, незначительная (10-30%) 900 м, кучево-дождевые облака , разорванная (60-90%) 1200 м;10.0 и более;4.0;;;
03.11.2023 15:50;7.0;725.5;741.9;87;Ветер, дующий с запада;8;;Слабый(ая)(ые) ливень (ливни), дождь;Ливень (ливни), дождь;Незначительная (10-30%) 540 м, незначительная (10-30%) 900 м, кучево-дождевые облака , рассеянная (40-50%) 1260 м, разорванная (60-90%) 1380 м;10.0 и более;5.0;;;
03.11.2023 15:20;8.0;725.6;741.9;76;Ветер, дующий с запада;7;;Слабый(ая)(ые) ливень (ливни), дождь;Ливень (ливни), дождь;Незначительная (10-30%) 600 м, разорванная (60-90%) 900 м, незначительная (10-30%) 900 м, кучево-дождевые облака;10.0 и более;4.0;;;
03.11.2023 14:50;8.0;724.1;740.4;82;Ветер, дующий с запада;8;;;;Незначительная (10-30%) 570 м, разорванная (60-90%) 1500 м;10.0 и более;5.0;;;
03.11.2023 14:20;9.0;724.2;740.4;82;Ветер, дующий с запада;8;;;;Незначительная (10-30%) 450 м;10.0 и более;6.0;;;
03.11.2023 13:50;8.0;723.3;739.6;82;Ветер, дующий с запада;6;;;;Незначительная (10-30%) 1080 м, сплошная (100%) 1500 м;10.0 и более;5.0;;;
03.11.2023 13:20;8.0;724.1;740.4;82;Ветер, дующий с запада;8;;Слабый(ая)(ые) дождь;Морось;Незначительная (10-30%) 300 м, разорванная (60-90%) 960 м;10.0 и более;5.0;;;
03.11.2023 12:50;8.0;724.1;740.4;87;Ветер, дующий с запада;8;;Морось;;Незначительная (10-30%) 180 м, рассеянная (40-50%) 330 м, разорванная (60-90%) 780 м;6.0;6.0;;;
03.11.2023 12:20;8.0;724.1;740.4;93;Ветер, дующий с запада;6;;Морось;Дождь;Незначительная (10-30%) 150 м, разорванная (60-90%) 240 м;7.0;7.0;;;
03.11.2023 11:50;8.0;723.3;739.6;93;Ветер, дующий с запада;7;;Дождь, морось;Морось;Незначительная (10-30%) 120 м, рассеянная (40-50%) 240 м, разорванная (60-90%) 540 м;2.8;7.0;;;
03.11.2023 11:20;8.0;723.3;739.6;93;Ветер, дующий с запада;6;;Морось;;Незначительная (10-30%) 210 м, рассеянная (40-50%) 360 м, разорванная (60-90%) 420 м;9.0;7.0;;;
03.11.2023 10:50;9.0;723.4;739.6;87;Ветер, дующий с запада;6;;;;Рассеянная (40-50%) 210 м, разорванная (60-90%) 330 м;10.0 и более;7.0;;;
